"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Swift", "C++", "XML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"e:\Projects\careconnect\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\careconnect\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 10, 62
"e:\Projects\careconnect\android\app\google-services.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"e:\Projects\careconnect\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\Projects\careconnect\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 11, 1, 44
"e:\Projects\careconnect\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\Projects\careconnect\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"e:\Projects\careconnect\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\Projects\careconnect\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\Projects\careconnect\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\Projects\careconnect\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"e:\Projects\careconnect\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\Projects\careconnect\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"e:\Projects\careconnect\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"e:\Projects\careconnect\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
