"filename", "language", "YAML", "JSON", "Markdown", "Dart", "HTML", "C++", "Swift", "Properties", "Groovy", "XML", "comment", "blank", "total"
"e:\Projects\careconnect\.VSCodeCounter\2022-01-25_00-25-50\details.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
"e:\Projects\careconnect\.VSCodeCounter\2022-01-25_00-25-50\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"e:\Projects\careconnect\.VSCodeCounter\2022-01-25_00-25-50\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Projects\careconnect\.VSCodeCounter\2022-01-25_00-25-50\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\careconnect\.VSCodeCounter\2022-01-25_00-25-50\results.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\Projects\careconnect\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\careconnect\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 3, 11, 71
"e:\Projects\careconnect\android\app\google-services.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"e:\Projects\careconnect\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"e:\Projects\careconnect\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 2, 47
"e:\Projects\careconnect\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"e:\Projects\careconnect\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"e:\Projects\careconnect\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"e:\Projects\careconnect\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 2, 22
"e:\Projects\careconnect\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"e:\Projects\careconnect\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"e:\Projects\careconnect\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"e:\Projects\careconnect\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"e:\Projects\careconnect\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"e:\Projects\careconnect\assets\gpay.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"e:\Projects\careconnect\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\careconnect\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"e:\Projects\careconnect\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"e:\Projects\careconnect\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\careconnect\lib\components\allergyList.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 50
"e:\Projects\careconnect\lib\components\appointment_list.dart", "Dart", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 9, 214
"e:\Projects\careconnect\lib\components\appointment_patientlist.dart", "Dart", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 3, 6, 311
